name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Ric Flair Drip (& Metro Boomin),Offset,0.88,0.428,-8.28,0.206,0.149,5.07E-05,0.114,0.333,100.007,172800
Happier,Marshmello,0.687,0.792,-2.749,0.0452,0.191,0,0.167,0.671,100.015,214290
Too Good At Goodbyes,Sam Smith,0.698,0.375,-8.279,0.0491,0.652,0,0.173,0.534,91.92,201000
Freaky Friday (feat. Chris Brown),Lil Dicky,0.755,0.599,-5.042,0.224,0.147,0,0.109,0.755,133.123,216632
Believer,Imagine Dragons,0.776,0.78,-4.374,0.128,0.0622,0,0.081,0.666,124.949,204347
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,0.931,0.387,-9.127,0.412,0.088,0,0.136,0.376,125.978,179405
Rise,Jonas Blue,0.687,0.785,-4.65,0.0333,0.327,0,0.203,0.655,106.046,194408
Body (feat. brando),Loud Luxury,0.752,0.764,-4.399,0.038,0.0476,9.44E-05,0.0543,0.582,121.958,163216
XO TOUR Llif3,Lil Uzi Vert,0.732,0.75,-6.366,0.231,0.00264,0,0.109,0.401,155.096,182707
Sin Pijama,Becky G,0.791,0.745,-3.695,0.0464,0.354,2.93E-05,0.104,0.82,94.014,188560
2002,Anne-Marie,0.697,0.683,-2.881,0.117,0.0372,0,0.137,0.603,96.133,186987
Nonstop,Drake,0.912,0.412,-8.074,0.124,0.0164,0.013,0.104,0.422,154.983,238614
Fuck Love (feat. Trippie Redd),XXXTENTACION,0.797,0.533,-9.74,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520
In My Blood,Shawn Mendes,0.622,0.712,-7.321,0.066,0.0573,0,0.13,0.487,140.025,211360
Silence,Marshmello,0.52,0.761,-3.093,0.0853,0.256,4.96E-06,0.17,0.286,141.971,180823
God is a woman,Ariana Grande,0.602,0.658,-5.934,0.0558,0.0233,6.00E-05,0.237,0.268,145.031,197547
D?jala que vuelva (feat. Manuel Turizo),Piso 21,0.681,0.788,-4.323,0.0785,0.0482,0,0.0753,0.839,170.019,220117
